Modelo,Técnica,ROC AUC,G-Mean,F1 Score,Precisão,Revocação
Random Forest,Meta Cost,0.7777 ± 0.0025,0.5769 ± 0.0055,0.4608 ± 0.0056,0.6768 ± 0.0085,0.3494 ± 0.0073
XGBoost,Linha de Base,0.7774 ± 0.0037,0.5643 ± 0.0197,0.4489 ± 0.0189,0.6930 ± 0.0212,0.3328 ± 0.0263
XGBoost,Subamostragem Aleatória,0.7773 ± 0.0051,0.7053 ± 0.0034,0.5296 ± 0.0065,0.4541 ± 0.0106,0.6354 ± 0.0023
Random Forest,Linha de Base,0.7770 ± 0.0025,0.5768 ± 0.0045,0.4600 ± 0.0049,0.6721 ± 0.0118,0.3497 ± 0.0060
Random Forest,Subamostragem Aleatória,0.7764 ± 0.0042,0.7059 ± 0.0043,0.5320 ± 0.0064,0.4595 ± 0.0081,0.6316 ± 0.0038
XGBoost,Meta Cost,0.7758 ± 0.0034,0.5706 ± 0.0232,0.4549 ± 0.0224,0.6854 ± 0.0234,0.3413 ± 0.0309
Perceptron Multicamadas,Subamostragem Aleatória,0.7710 ± 0.0068,0.7027 ± 0.0033,0.5274 ± 0.0037,0.4540 ± 0.0032,0.6290 ± 0.0064
Perceptron Multicamadas,Linha de Base,0.7695 ± 0.0049,0.5849 ± 0.0169,0.4659 ± 0.0156,0.6553 ± 0.0179,0.3621 ± 0.0235
Random Forest,SMOTE,0.7693 ± 0.0042,0.6912 ± 0.0067,0.5287 ± 0.0098,0.4876 ± 0.0124,0.5773 ± 0.0078
Perceptron Multicamadas,Meta Cost,0.7693 ± 0.0070,0.5794 ± 0.0198,0.4605 ± 0.0177,0.6593 ± 0.0233,0.3546 ± 0.0277
Random Forest,SMOTE Tomek,0.7688 ± 0.0046,0.6921 ± 0.0056,0.5299 ± 0.0082,0.4890 ± 0.0097,0.5782 ± 0.0062
XGBoost,SMOTE Tomek,0.7687 ± 0.0045,0.6810 ± 0.0044,0.5235 ± 0.0073,0.4997 ± 0.0146,0.5500 ± 0.0087
XGBoost,SMOTE,0.7673 ± 0.0043,0.6800 ± 0.0061,0.5219 ± 0.0066,0.4974 ± 0.0062,0.5490 ± 0.0109
Máquina de Vetores de Suporte,SMOTE,0.7625 ± 0.0045,0.6894 ± 0.0082,0.5252 ± 0.0095,0.4821 ± 0.0079,0.5768 ± 0.0135
Máquina de Vetores de Suporte,SMOTE Tomek,0.7625 ± 0.0054,0.6889 ± 0.0099,0.5253 ± 0.0116,0.4837 ± 0.0087,0.5748 ± 0.0156
Perceptron Multicamadas,SMOTE,0.7621 ± 0.0093,0.6960 ± 0.0069,0.5102 ± 0.0085,0.4192 ± 0.0093,0.6518 ± 0.0116
Máquina de Vetores de Suporte,SVM Custo-Sensível,0.7615 ± 0.0068,0.6962 ± 0.0082,0.5147 ± 0.0150,0.4307 ± 0.0499,0.6511 ± 0.0649
Máquina de Vetores de Suporte,Subamostragem Aleatória,0.7611 ± 0.0045,0.6870 ± 0.0067,0.5265 ± 0.0079,0.4923 ± 0.0061,0.5658 ± 0.0108
Perceptron Multicamadas,SMOTE Tomek,0.7578 ± 0.0069,0.6909 ± 0.0090,0.5077 ± 0.0130,0.4250 ± 0.0229,0.6322 ± 0.0277
Máquina de Vetores de Suporte,Linha de Base,0.7201 ± 0.0037,0.5235 ± 0.0097,0.4033 ± 0.0113,0.6947 ± 0.0192,0.2843 ± 0.0109
